,site,country,PDI,IDV,MAS,UAI,num_u,num_q,num_a,num_tp_c,num_tp_e,perc_a,perc_q,perc_tp_c,perc_tp_e,GNI,Internet,EPI,WVS,resid
1,stackoverflow,Austria,11,55,79,70,2518,3.72815081174356,6.94481496762025,11.2031198803772,5.71954486120862,0.631056393963463,0.593328038125496,0.350277998411438,0.149324861000794,48160,79.8,63.21,1.43,-8.95335600616982
2,stackoverflow,Belgium,65,75,54,94,4275,3.79544606006739,6.54306104304666,11.4395789451129,4.76405725522882,0.608187134502924,0.608888888888889,0.320233918128655,0.146666666666667,44990,78,61.21,1.13,16.3418210836311
3,stackoverflow,Brazil,69,38,49,76,10717,2.99348023551938,4.21282701522329,7.63516893545966,3.70772709224314,0.482691051600261,0.46580199682747,0.203881683306896,0.0835121769151815,11630,45,49.96,0.81,4.64667417935195
4,stackoverflow,Chile,63,23,28,86,1075,2.83516142776546,4.35097001867974,7.01431152928966,3.86853814984104,0.483720930232558,0.484651162790698,0.210232558139535,0.0762790697674419,14280,52.3,48.75,0,-11.0378012572628
5,stackoverflow,China,80,20,66,30,13401,2.60580925106181,3.03929654708088,5.22954310372153,3.05404795578297,0.355719722408775,0.363107230803671,0.107827774046713,0.029773897470338,5680,38.3,50.15,-1.16,-11.0034097793422
6,stackoverflow,Colombia,67,13,64,80,1224,2.93569798111175,3.728968978132,6.68945365112418,2.95365043696134,0.477941176470588,0.496732026143791,0.17156862745098,0.059640522875817,6990,40.4,48.54,0.6,-18.971316166456
7,stackoverflow,Czech Republic,57,58,57,74,2701,3.71040607517536,6.37554903484442,10.3789413444997,5.18997689246781,0.574601999259533,0.542391706775268,0.299518696778971,0.117734172528693,18130,73,57.42,0.38,11.4126410524297
8,stackoverflow,Denmark,18,74,16,23,4029,3.61136583492327,5.80377783980793,9.06353661845764,4.6884095354281,0.556713824770415,0.621245966741127,0.289401836684041,0.115909655001241,59770,90,69.3,1.87,10.5087822675514
9,stackoverflow,Egypt,70,25,45,80,1965,3.5092635814897,4.51437557890077,6.94172242213591,3.65671851187769,0.443256997455471,0.518575063613232,0.186259541984733,0.0743002544529262,3000,95,42.13,-0.54,-21.3710940772289
10,stackoverflow,El Salvador,66,19,40,94,133,3.62868067925398,4.43982699243412,17.6657016811166,4.05411507770681,0.473684210526316,0.496240601503759,0.135338345864662,0.0526315789473684,3580,18.9,43.46,0.53,-1.00794550657707
11,stackoverflow,Estonia,40,60,30,60,621,3.73801743138265,7.52950603704267,14.4030595982123,6.5751385875137,0.595813204508857,0.581320450885668,0.322061191626409,0.14170692431562,15830,76.5,61.39,-1.19,16.8267853971516
12,stackoverflow,Finland,33,63,26,59,2046,3.29609737909518,6.6189831006666,12.0727772299182,5.34026849665388,0.585043988269795,0.489247311827957,0.314271749755621,0.129521016617791,46940,89.4,64.4,1.12,3.49695303280058
13,stackoverflow,France,68,71,43,86,11450,3.26165892355147,6.1581623665959,10.412237133292,4.68600471835875,0.591004366812227,0.550305676855895,0.292838427947598,0.131528384279476,41750,79.6,52.69,1.13,14.5975447379843
14,stackoverflow,Germany,35,67,66,65,18374,3.6575020661587,7.39588321109738,12.9822062226039,5.42758827089094,0.616414498748231,0.597637966692065,0.343583324262545,0.160988353107652,44010,83,60.89,0.44,5.39548658813124
15,stackoverflow,Guatemala,95,6,37,101,215,2.44757088646077,3.61629358945691,5.67507682421723,3.51621274390177,0.516279069767442,0.446511627906977,0.172093023255814,0.0558139534883721,3140,12.3,45.77,-0.17,-11.1747101742407
16,stackoverflow,Hong Kong,68,25,57,29,970,3.72501000479021,5.87117132534938,9.63932852367678,6.22938574674887,0.509278350515464,0.541237113402062,0.267010309278351,0.0938144329896907,36560,72.2,52.5,-0.98,-28.7098844764152
17,stackoverflow,Hungary,46,80,88,82,1842,3.41316432128684,6.61455475067791,10.9950539652764,4.47244111053204,0.560260586319218,0.508686210640608,0.292073832790445,0.11672095548317,12370,70,58.55,-1.22,32.5166230270542
18,stackoverflow,India,77,48,56,40,70970,3.80973413797235,5.22457856026541,9.33396082163194,5.35018389650052,0.455826405523461,0.581442863181626,0.202296745103565,0.0947442581372411,1530,10.1,53.54,-0.21,29.6286255121371
19,stackoverflow,Indonesia,78,14,46,48,3585,2.76860260765525,3.28854955666409,6.1175642432516,3.79228630001767,0.321059972105997,0.421478382147838,0.110739191073919,0.0359832635983264,3420,12.3,52.74,-0.8,-4.51476278206383
20,stackoverflow,Iraq,95,30,70,85,144,2.41635663122916,2.22849551840744,4.12474477940223,2.80970581608967,0.291666666666667,0.430555555555556,0.0625,0.0416666666666667,5870,5,38.02,-1.68,9.71412883554198
21,stackoverflow,Italy,50,76,70,75,6822,3.6240646892415,5.52449019887971,9.17835509888681,5.37372777816407,0.529170331281149,0.589123424215772,0.255496921723835,0.10583406625623,33840,56.8,52.8,0.6,26.8522082085447
22,stackoverflow,Japan,54,46,95,92,2692,3.29964226479091,4.71613061381875,10.056809563894,4.24187937569369,0.448736998514116,0.428306092124814,0.192421991084695,0.0861812778603269,47870,79.1,52.88,-0.05,-19.7812136987581
23,stackoverflow,Latvia,44,70,40,63,673,3.63054650181349,6.89953103138776,10.0146400716603,5.093772726108,0.569093610698366,0.557206537890045,0.320950965824666,0.108469539375929,14200,71.7,59.43,-1.27,27.7512102378782
24,stackoverflow,Malaysia,104,26,50,36,1554,3.53181486296681,4.51903530422885,8.53209641075429,3.83797781990604,0.405405405405405,0.562419562419562,0.187902187902188,0.0733590733590734,9800,61,59.73,0.09,-12.2038297931904
25,stackoverflow,Mexico,81,30,69,82,2973,2.85730455104242,4.09712291005668,7.4580316920429,3.29250533699217,0.473595694584595,0.454086781029263,0.182980154725866,0.0639085099226371,9600,35,49.83,1.03,-1.86179813724634
26,stackoverflow,Morocco,70,25,53,68,547,3.29685803526535,4.65965205101257,10.4353365242683,7.73253449932472,0.444241316270567,0.497257769652651,0.16636197440585,0.0712979890310786,2950,53,42.43,-1.04,-8.14035138026181
27,stackoverflow,Netherlands,38,80,14,53,9298,3.4509534334467,6.83753931619313,11.8629376474036,5.13631001972415,0.616799311679931,0.595396859539686,0.328027532802753,0.149709614970961,48250,92.3,68.99,1.39,20.6207436999043
28,stackoverflow,Norway,31,69,8,50,3128,3.77302968007683,6.74443624789985,9.81268958677647,5.03462948933044,0.599744245524297,0.588235294117647,0.341112531969309,0.124680306905371,98860,94,64.33,2.17,-10.4466822378875
29,stackoverflow,Peru,64,16,42,87,534,3.64573964566485,5.77315438384223,10.6962394332741,7.50435473323055,0.47752808988764,0.468164794007491,0.228464419475655,0.0936329588014981,5880,36,51.46,0.03,-11.0265780800058
30,stackoverflow,Poland,68,60,64,93,6069,3.55907983216881,6.63792778389667,10.094507179563,4.91759062800005,0.583292140385566,0.567144504860768,0.311253913330038,0.126379963750206,12660,64.9,64.26,-0.14,17.410807543972
31,stackoverflow,Portugal,63,27,31,104,2851,3.37677750594231,4.86949551930692,7.98036600786754,3.86847729279291,0.525780427920028,0.576289021396001,0.248333917923536,0.106278498772361,20580,57.8,56.83,0.49,-11.8477563984155
32,stackoverflow,Romania,90,30,42,90,3570,3.83241987500113,6.52066592710514,9.81032212233061,5.40123019074963,0.564145658263305,0.57843137254902,0.289915966386555,0.113445378151261,8150,44,58.63,-1.55,-0.661589389154294
33,stackoverflow,Russia,93,39,36,95,10701,3.14823571032055,5.33157774285604,8.35687198627119,4.55760256346279,0.517615176151762,0.485842444631343,0.24053826745164,0.0832632464255677,12700,49,50.44,-1.42,5.62859970704751
34,stackoverflow,Saudi Arabia,95,25,60,80,328,3.54934015613516,4.17257522847838,10.9023525138199,4.88357991701413,0.411585365853659,0.5,0.155487804878049,0.0670731707317073,21210,47.5,39.48,0.15,-14.5490873069092
35,stackoverflow,Slovakia,104,52,110,51,861,4.0578608415774,6.99805068627341,11.8053704108543,4.9954488213227,0.570267131242741,0.579558652729384,0.315911730545877,0.133565621370499,17180,74.4,55.96,-0.43,-1.91272130054472
36,stackoverflow,Slovenia,71,27,19,88,692,4.07372210144232,6.80640627996472,11.4613369504021,4.60695612254217,0.61271676300578,0.628612716763006,0.333815028901734,0.111271676300578,22810,69,60.6,0.36,-14.9194533343295
37,stackoverflow,South Korea,60,18,39,85,1784,2.82904353819922,3.52660837799225,7.89624980337307,4.41767306904929,0.319506726457399,0.40695067264574,0.106502242152466,0.0414798206278027,22670,83.8,53.62,-1.37,-31.6312530543712
38,stackoverflow,Spain,57,51,42,86,7349,3.14528598792245,5.01851705207199,8.08126846281563,4.76082304777396,0.526330112940536,0.503333786909784,0.234589740100694,0.0928017417335692,30110,67.6,57.18,0.54,3.4907252591893
39,stackoverflow,Sweden,31,71,5,29,6980,3.68959242936101,6.60394145427117,10.2844584268275,4.64441707531435,0.601289398280802,0.593839541547278,0.334527220630372,0.138968481375358,56210,94,67.8,2.35,9.07564870413041
40,stackoverflow,Switzerland,34,68,70,58,3623,3.87640423035986,7.49672142931199,12.5537831636995,5.82370146497215,0.635109025669335,0.602815346398013,0.359922715981231,0.168644769528015,82730,85.2,58.29,1.9,-10.4355142998683
41,stackoverflow,Thailand,64,20,34,64,1152,3.59363407441572,4.70910308111792,8.3703988341103,4.01468952277966,0.388888888888889,0.410590277777778,0.170138888888889,0.0581597222222222,5210,23.7,47.79,0.01,-1.478016581709
42,stackoverflow,Turkey,66,37,45,85,4506,3.71117091672467,5.09132251005992,7.86214677753118,4.13927970260938,0.467598757212605,0.505326231691079,0.218153573013759,0.0881047492232579,10830,43.1,47.8,-0.33,5.16031037080424
43,stackoverflow,Uruguay,61,36,38,100,569,2.93832546061436,5.5161967244382,8.1230021249101,3.39525717906213,0.567662565905097,0.518453427065026,0.261862917398946,0.101933216168717,13510,51.4,49.61,0.99,1.21351260112513
44,stackoverflow,Vietnam,70,20,40,30,2319,2.94580559736516,3.67105563162153,7.16179732131822,4.1586224934499,0.370418283742993,0.421302285467874,0.128503665373006,0.03751617076326,1400,35.1,51.57,-0.26,-4.64970682795293
1,superuser,Austria,11,55,79,70,667,1.63115625056059,2.27272271091625,2.63024736360414,2.32946197546352,0.274362818590705,0.269865067466267,0.278860569715142,0.047976011994003,48160,79.8,63.21,1.43,-8.28375986927669
2,superuser,Belgium,65,75,54,94,1100,1.96227498821838,2.15491713825221,3.33920867450161,2.23409226243312,0.300909090909091,0.322727272727273,0.285454545454545,0.0481818181818182,44990,78,61.21,1.13,16.5292703533258
3,superuser,Brazil,69,38,49,76,2017,1.72087718002069,1.90620937885246,2.70751191537563,2.72867727669973,0.19533961328706,0.218145761031235,0.197322756569162,0.0252850768468022,11630,45,49.96,0.81,4.5043841371645
4,superuser,Chile,63,23,28,86,214,2.12116584607389,2.06148218975948,2.99241650887562,2.75261062808373,0.252336448598131,0.257009345794392,0.233644859813084,0.0420560747663551,14280,52.3,48.75,0,-11.5497010566149
5,superuser,China,80,20,66,30,1359,1.75924262914426,1.59461209213537,2.32470037289897,1.91238071840934,0.178807947019868,0.231052244297277,0.164091243561442,0.0183958793230316,5680,38.3,50.15,-1.16,-10.8757395965545
6,superuser,Colombia,67,13,64,80,219,1.49439983181541,1.87618248074401,1.91058496676848,1.200936955176,0.136986301369863,0.223744292237443,0.19634703196347,0.0273972602739726,6990,40.4,48.54,0.6,-18.8715541946739
7,superuser,Czech Republic,57,58,57,74,698,1.92428132206369,2.11987862338977,2.95985205728306,3.25161077089543,0.257879656160458,0.282234957020057,0.256446991404011,0.0315186246418338,18130,73,57.42,0.38,11.4482342921972
8,superuser,Denmark,18,74,16,23,932,1.89059276404865,2.13895991174451,2.83459137972837,2.31510127628687,0.275751072961373,0.320815450643777,0.3068669527897,0.0407725321888412,59770,90,69.3,1.87,10.1064883822179
9,superuser,Egypt,70,25,45,80,333,1.94205434028543,1.71966678106792,2.61469089267973,1,0.159159159159159,0.222222222222222,0.165165165165165,0.00900900900900901,3000,95,42.13,-0.54,-21.6896939477712
10,superuser,Estonia,40,60,30,60,174,1.79970013839742,2.05220270376418,4.28537412368504,4.97567120241002,0.350574712643678,0.28735632183908,0.258620689655172,0.0517241379310345,15830,76.5,61.39,-1.19,16.3466155483591
11,superuser,Finland,33,63,26,59,577,1.86241940284864,2.61066994496848,3.1664480132333,3.22432131095956,0.346620450606586,0.305025996533795,0.332755632582322,0.0554592720970537,46940,89.4,64.4,1.12,3.17800793226528
12,superuser,France,68,71,43,86,2440,1.82336998053751,2.03414282424236,2.76121926669387,2.06672317150446,0.27827868852459,0.233196721311475,0.244262295081967,0.0418032786885246,41750,79.6,52.69,1.13,14.5567040695587
13,superuser,Germany,35,67,66,65,4600,1.88471240284418,2.31556707667586,3.03675805981179,2.5466143275895,0.303260869565217,0.302608695652174,0.307173913043478,0.05,44010,83,60.89,0.44,5.79184655918663
14,superuser,Hong Kong,68,25,57,29,232,2.14860869714815,2.81044243681322,3.44684053007982,1.69856581823783,0.275862068965517,0.344827586206897,0.306034482758621,0.0603448275862069,36560,72.2,52.5,-0.98,-28.5293467481813
15,superuser,Hungary,46,80,88,82,447,1.88930335788086,1.96216574336593,3.0220183869168,2.1351847961967,0.315436241610738,0.333333333333333,0.317673378076063,0.0357941834451902,12370,70,58.55,-1.22,33.0778582644792
16,superuser,India,77,48,56,40,8921,1.74353414130111,1.90739217344236,2.58404214470737,2.26101421725748,0.18305122744087,0.283040017935209,0.199192915592422,0.0279116690953929,1530,10.1,53.54,-0.21,29.5602766368314
17,superuser,Indonesia,78,14,46,48,374,1.67107038449038,1.82654371428118,2.11830487592147,1.81712059283214,0.213903743315508,0.280748663101604,0.235294117647059,0.0160427807486631,3420,12.3,52.74,-0.8,-4.75329411157099
18,superuser,Italy,50,76,70,75,1416,2.01524657283377,2.24207854734055,2.85492055299839,2.21092065887975,0.252118644067797,0.307203389830508,0.283898305084746,0.0444915254237288,33840,56.8,52.8,0.6,27.2607834275497
19,superuser,Japan,54,46,95,92,483,1.64467932488046,2.12924361604832,2.78705219354526,1.16652903957612,0.209109730848861,0.231884057971014,0.221532091097308,0.0186335403726708,47870,79.1,52.88,-0.05,-18.8199002673291
20,superuser,Latvia,44,70,40,63,176,1.95205523447195,1.92570846026721,3.04030530682942,1.31607401295249,0.232954545454545,0.335227272727273,0.284090909090909,0.0227272727272727,14200,71.7,59.43,-1.27,27.4450967941211
21,superuser,Malaysia,104,26,50,36,271,1.70981712697952,1.88387871958225,2.78531420178958,2.82842712474619,0.202952029520295,0.273062730627306,0.232472324723247,0.00738007380073801,9800,61,59.73,0.09,-12.3534179277908
22,superuser,Mexico,81,30,69,82,495,1.67597534173448,1.80900960215176,2.39067365041143,1.88043103063485,0.236363636363636,0.250505050505051,0.214141414141414,0.0282828282828283,9600,35,49.83,1.03,-1.64605700748425
23,superuser,Morocco,70,25,53,68,75,1.23841620097549,1.49843723387077,2.30420263108709,1,0.173333333333333,0.266666666666667,0.16,0.0133333333333333,2950,53,42.43,-1.04,-8.28291896141912
24,superuser,Netherlands,38,80,14,53,2220,1.79767726272933,2.2465993382067,3.21429659667957,3.09237561009006,0.276126126126126,0.281081081081081,0.278378378378378,0.0495495495495495,48250,92.3,68.99,1.39,20.0898910421676
25,superuser,Norway,31,69,8,50,834,2.02166593385628,2.09318704584689,3.12333225802066,2.19931629447969,0.303357314148681,0.270983213429257,0.267386091127098,0.0443645083932854,98860,94,64.33,2.17,-10.6923216528953
26,superuser,Peru,64,16,42,87,101,1.86176969495042,2.28232282853185,3.69688973032675,2.17202531760487,0.267326732673267,0.267326732673267,0.247524752475248,0.0594059405940594,5880,36,51.46,0.03,-11.3359577389945
27,superuser,Poland,68,60,64,93,1443,1.77286388768043,1.98306891770762,2.7356074784883,1.92806483652767,0.25987525987526,0.319473319473319,0.267498267498267,0.0311850311850312,12660,64.9,64.26,-0.14,17.5376764411312
28,superuser,Portugal,63,27,31,104,621,1.53249234686156,1.75439764723024,2.59650072250751,2.41197782101093,0.246376811594203,0.27536231884058,0.235104669887279,0.0273752012882448,20580,57.8,56.83,0.49,-12.2591584924657
29,superuser,Romania,90,30,42,90,793,1.98556806904135,2.04059981213008,2.81760031804241,3.4741812746482,0.229508196721311,0.290037831021438,0.258511979823455,0.0302648171500631,8150,44,58.63,-1.55,-0.958838750484666
30,superuser,Russia,93,39,36,95,1900,1.68069301623041,1.85886869339781,2.79886210708008,2.05490773960957,0.208947368421053,0.243157894736842,0.195263157894737,0.0263157894736842,12700,49,50.44,-1.42,5.2534013108289
31,superuser,Saudi Arabia,95,25,60,80,45,1.94228487212918,2.03324422782702,2.39308470586571,1,0.266666666666667,0.333333333333333,0.222222222222222,0.0444444444444444,21210,47.5,39.48,0.15,-14.4163173471093
32,superuser,Slovakia,104,52,110,51,190,2.33478108185935,1.7933261438143,3.01412798328265,2.78315768371374,0.289473684210526,0.315789473684211,0.315789473684211,0.0210526315789474,17180,74.4,55.96,-0.43,-0.913358913913011
33,superuser,Slovenia,71,27,19,88,187,1.91141457984078,2.47985587175372,3.4886983081507,2.07600018024928,0.262032085561497,0.320855614973262,0.283422459893048,0.0427807486631016,22810,69,60.6,0.36,-15.5414204617998
34,superuser,South Korea,60,18,39,85,195,2.24167765516772,1.73161903221688,3.00677466587757,1,0.143589743589744,0.235897435897436,0.18974358974359,0.0153846153846154,22670,83.8,53.62,-1.37,-31.8979062934729
35,superuser,Spain,57,51,42,86,1262,1.79117341161213,1.87314926372723,2.69957165218432,2.93645528022687,0.245641838351823,0.205229793977813,0.204437400950872,0.0229793977812995,30110,67.6,57.18,0.54,3.348833373423
36,superuser,Sweden,31,71,5,29,1861,1.85194845719043,2.20987962656496,2.8262445213289,2.25411310733259,0.268672756582483,0.295002686727566,0.281031703385277,0.0354648038688877,56210,94,67.8,2.35,8.44086221214846
37,superuser,Switzerland,34,68,70,58,999,2.00929839816682,2.2325061216943,3.26843105411135,2.7523375071289,0.325325325325325,0.295295295295295,0.302302302302302,0.0500500500500501,82730,85.2,58.29,1.9,-9.66400566038803
38,superuser,Thailand,64,20,34,64,201,1.73425683296261,1.70083042313858,2.90420640246107,3,0.258706467661692,0.263681592039801,0.223880597014925,0.0199004975124378,5210,23.7,47.79,0.01,-1.93070118889304
39,superuser,Turkey,66,37,45,85,791,1.80606468725273,2.10181813141459,2.61178519900098,3.4567558491016,0.188369152970923,0.255372945638432,0.217446270543616,0.0252844500632111,10830,43.1,47.8,-0.33,4.93972207793075
40,superuser,Uruguay,61,36,38,100,119,1.41630675199117,1.83850221260479,2.30067226887149,1,0.26890756302521,0.302521008403361,0.243697478991597,0.00840336134453781,13510,51.4,49.61,0.99,0.879650685434508
41,superuser,Vietnam,70,20,40,30,254,1.90137208843525,2.17864121060732,2.5723403415607,2.39424217887553,0.169291338582677,0.244094488188976,0.192913385826772,0.0275590551181102,1400,35.1,51.57,-0.26,-5.03023335123816
